connectivity,efficiency,label
4.00E+00,1.20E-04,0.00E+00
4.24E+00,1.18E-04,1.00E+00
2.64E+00,1.03E-04,0.00E+00
2.64E+00,1.02E-04,0.00E+00
3.82E+00,9.94E-05,0.00E+00
2.84E+00,9.81E-05,0.00E+00
3.01E+00,9.30E-05,0.00E+00
3.90E+00,9.17E-05,0.00E+00
4.56E+00,8.91E-05,0.00E+00
2.78E+00,8.65E-05,0.00E+00
2.77E+00,8.65E-05,0.00E+00
2.75E+00,8.01E-05,0.00E+00
3.89E+00,7.91E-05,0.00E+00
3.29E+00,7.81E-05,1.00E+00
2.75E+00,7.75E-05,0.00E+00
2.78E+00,7.73E-05,1.00E+00
2.75E+00,7.62E-05,0.00E+00
4.01E+00,7.48E-05,1.00E+00
3.92E+00,7.24E-05,0.00E+00
3.47E+00,6.98E-05,0.00E+00
2.97E+00,6.85E-05,0.00E+00
2.94E+00,6.85E-05,0.00E+00
3.47E+00,6.85E-05,0.00E+00
3.61E+00,6.63E-05,1.00E+00
4.28E+00,6.39E-05,1.00E+00
3.36E+00,4.93E-05,1.00E+00
3.84E+00,4.19E-05,1.00E+00
4.55E+00,2.68E-05,1.00E+00
3.99E+00,5.61E-06,0.00E+00
3.65E+00,-1.46E-05,1.00E+00
4.66E+00,-1.65E-05,0.00E+00
3.85E+00,-1.94E-05,1.00E+00
3.74E+00,-3.06E-05,0.00E+00
4.51E+00,-3.58E-05,0.00E+00
4.40E+00,-3.58E-05,0.00E+00
3.82E+00,-3.96E-05,0.00E+00
3.73E+00,-3.96E-05,0.00E+00
3.83E+00,-3.96E-05,0.00E+00
4.35E+00,-4.61E-05,0.00E+00
3.64E+00,-4.74E-05,0.00E+00
3.30E+00,-5.25E-05,0.00E+00
3.23E+00,-5.25E-05,0.00E+00
2.64E+00,-5.91E-05,1.00E+00
2.98E+00,-6.41E-05,0.00E+00
2.98E+00,-6.41E-05,0.00E+00
2.74E+00,-6.54E-05,0.00E+00
2.75E+00,-6.88E-05,1.00E+00
2.78E+00,-7.05E-05,0.00E+00
3.97E+00,-7.05E-05,0.00E+00
4.13E+00,-7.28E-05,0.00E+00
3.85E+00,-7.31E-05,0.00E+00
3.44E+00,-7.31E-05,0.00E+00
4.38E+00,-7.64E-05,1.00E+00
4.05E+00,-7.69E-05,0.00E+00
4.15E+00,-8.08E-05,0.00E+00
3.50E+00,-8.47E-05,0.00E+00
2.75E+00,-8.62E-05,1.00E+00
3.06E+00,-8.85E-05,0.00E+00
2.94E+00,-8.85E-05,0.00E+00
3.76E+00,-8.85E-05,0.00E+00
3.12E+00,-8.85E-05,0.00E+00
2.92E+00,-8.85E-05,0.00E+00
3.23E+00,-8.98E-05,0.00E+00
3.18E+00,-9.24E-05,0.00E+00
